LI-8100,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,LI-8100,LI-8150,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810
2024-06-02 11:34:18,154.482150,100.310000,6978.600000,-69.643110,2305504.381740,0.064250,2305504.381740,0.064250,14,6.143950,-0.535270,10.006710,0.996700,0.983650,-0.535270,0.972800,0.972800,450.650000,2096.009980
2024-06-02 11:37:16,154.484210,100.300000,6978.600000,24.634110,2684460.235760,0.009490,2684460.235760,0.009490,15,4.057070,-0.232140,4.057070,0.993250,0.993250,-0.232140,0.945200,0.945200,466.460000,2094.592140
2024-06-02 11:40:14,154.486270,100.300000,6978.600000,24.256000,75.756850,0.000000,75.756850,0.000000,16,3.284570,-0.307510,3.284570,0.990180,0.990180,-0.307510,0.972510,0.972510,451.110000,2099.843040
2024-06-02 11:43:00,154.488190,100.300000,6978.600000,136.185490,-1155111.141740,0.003460,-1155111.141740,0.003460,10,0.852610,-0.468090,0.843930,0.729090,0.796140,-0.475040,0.980980,0.980870,444.050000,2097.372770
2024-06-02 11:45:59,154.490270,100.290000,6978.600000,24.781890,4095.549530,0.007090,4095.549530,0.007090,9,13.968350,-1.556280,13.968350,0.998850,0.998850,-1.556280,0.997850,0.997850,459.100000,2089.297950
2024-06-02 11:48:58,154.492340,100.280000,6978.600000,-69.290560,-105516.977200,0.007250,-105516.977200,0.007250,49,5.087750,-0.712530,5.087750,0.990230,0.990230,-0.712530,0.959120,0.959120,446.110000,2091.027000
2024-06-02 12:31:20,154.521760,100.210000,6978.600000,27.783000,-250737.593500,0.000150,-250737.593500,0.000150,13,3.562300,-0.523940,4.347340,0.989250,0.988080,-0.523940,0.984510,0.984510,433.960000,2065.288040
2024-06-02 12:34:18,154.523820,100.230000,6978.600000,-69.127780,270874054.564590,0.018380,270874054.564590,0.018380,14,4.126630,-0.135720,6.974990,0.912570,0.898810,-0.396200,0.630740,0.627380,455.030000,2061.227260
2024-06-02 12:37:16,154.525880,100.230000,6978.600000,28.926890,-37820471.899300,0.017650,-37820471.899300,0.017650,15,5.032200,-0.405530,5.354560,0.997100,0.996880,-0.405530,0.984250,0.984250,440.390000,2065.189430
2024-06-02 12:40:15,154.527950,100.230000,6978.600000,27.410000,1940879.985240,0.039600,2011822.273410,0.039430,16,2.315100,-0.144370,2.315100,0.979540,0.979540,-0.144370,0.868690,0.868690,445.620000,2065.580840
2024-06-02 12:43:02,154.529880,100.220000,6978.600000,137.492860,902649.319400,0.010660,902649.319400,0.010660,10,1.249020,-0.157610,1.249020,0.952870,0.952870,-0.157610,0.735480,0.735480,425.280000,2059.318300
2024-06-02 12:46:01,154.531960,100.220000,6978.600000,26.843670,-582494.698950,0.032290,-582494.698950,0.032290,9,14.851210,-1.638870,14.851210,0.996910,0.996910,-1.638870,0.993380,0.993380,457.090000,2061.366950
2024-06-02 12:48:59,154.534020,100.230000,6978.600000,-68.708670,-13711693.967500,0.067880,-8152509.365540,0.191790,49,5.245430,-1.055710,5.245430,0.988690,0.988690,-1.055710,0.982970,0.982970,438.850000,2064.183880
2024-06-02 13:31:20,154.563430,100.150000,6978.600000,29.388440,6140405.392380,0.084120,1356709.885660,0.031590,13,2.663820,-0.503780,5.093710,0.984740,0.977570,-1.547290,0.969650,0.965630,434.710000,2064.952070
2024-06-02 13:34:20,154.565510,100.160000,6978.600000,-68.779560,39506.714020,0.000530,39506.714020,0.000530,14,4.863660,-0.249870,8.887040,0.993030,0.983340,-0.249870,0.898100,0.898100,453.940000,2062.084740
2024-06-02 13:37:19,154.567580,100.160000,6978.600000,27.694220,277919.470400,0.079600,277919.470400,0.079600,15,3.534990,-0.267380,3.798610,0.989010,0.988830,-0.378750,0.945570,0.944770,435.400000,2065.695850
2024-06-02 13:40:18,154.569650,100.160000,6978.600000,27.220780,-214050.210560,0.038590,-241960.034200,0.042450,16,2.517790,-0.132790,2.666730,0.992830,0.992750,-0.132790,0.878680,0.878680,434.720000,2065.976300
2024-06-02 13:43:04,154.571570,100.160000,6978.600000,140.413740,376523.827800,0.002660,376523.827800,0.002660,10,0.412450,0.061980,5.011870,0.457470,0.282640,0.061980,0.279700,0.279700,433.790000,2067.619190
2024-06-02 13:46:04,154.573660,100.160000,6978.600000,27.074560,-129534.174780,0.016940,-162903.302080,0.011810,9,13.794580,-1.541300,13.794580,0.993750,0.993750,-1.541300,0.992530,0.992530,448.920000,2066.845610
2024-06-02 13:49:03,154.575730,100.160000,6978.600000,-68.758220,-393631.116220,0.095710,-393631.116220,0.095710,49,5.618010,-0.555760,5.618010,0.996980,0.996980,-0.555760,0.982340,0.982340,442.950000,2065.069470
2024-06-02 14:31:20,154.605090,100.080000,6978.600000,26.724000,-223869.405770,0.075340,-223869.405770,0.075340,13,3.781820,-0.383100,5.479190,0.988670,0.985510,-0.383100,0.944750,0.944750,467.550000,2068.958540
2024-06-02 14:34:18,154.607150,100.100000,6978.600000,-69.004560,-317564.762810,0.071990,-317564.762810,0.071990,14,3.967060,1.885750,21.036930,0.974260,0.840730,1.854590,0.874910,0.876170,461.220000,2069.865080
2024-06-02 14:37:16,154.609210,100.110000,6978.600000,26.038440,158363.119640,0.003990,158363.119640,0.003990,15,4.198440,-0.619800,5.531650,0.989560,0.986490,-0.619800,0.514660,0.514660,447.180000,2116.796520
2024-06-02 14:40:15,154.611280,100.110000,6978.600000,25.682780,-562245.739810,0.172680,-724209.108680,0.173320,16,2.034590,-0.204570,2.565640,0.983930,0.983040,-0.204570,0.853270,0.853270,468.870000,2080.025180
2024-06-02 14:43:01,154.613210,100.110000,6978.600000,139.342090,-351639.254510,0.172810,-266660.140820,0.024070,10,-0.996930,-0.772190,-0.996930,0.561820,0.561820,-0.772190,0.897250,0.897250,449.710000,2074.535760
2024-06-02 14:46:01,154.615290,100.100000,6978.600000,25.543890,54889.595360,0.005200,54889.595360,0.005200,9,13.118820,-1.456060,13.118820,0.997180,0.997180,-1.456060,0.995950,0.995950,473.630000,2066.638820
2024-06-02 14:49:00,154.617360,100.100000,6978.600000,-68.874110,742471.145370,0.048000,742471.145370,0.048000,49,6.016600,-0.791810,6.749500,0.987740,0.990710,-0.791810,0.984760,0.984760,469.190000,2065.610910
2024-06-02 15:31:20,154.646760,100.040000,6978.600000,26.902330,-207320.504240,0.019970,-207320.504240,0.019970,13,4.065490,-0.435560,9.652990,0.988930,0.969270,-3.116720,0.969120,0.833290,462.580000,2062.652350
2024-06-02 15:34:19,154.648830,100.060000,6978.600000,-69.043780,239727.947480,0.039820,239727.947480,0.039820,14,4.286190,0.376260,16.544210,0.984240,0.908730,0.944220,0.920390,0.891720,479.390000,2065.890550
2024-06-02 15:37:18,154.650900,100.050000,6978.600000,26.248670,238048.816150,0.123290,235983.105720,0.121110,15,3.952240,-0.287880,5.188990,0.991100,0.987940,-0.605350,0.959320,0.944540,462.240000,2058.452200
